Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Bio,Artist Alpha Sort,Object Date,City,Country,Classification,Link Resource,Tags
381653,Drawings and Prints,1972.0,Print,"Perspective of a suburban dwelling for Mrs. Emma L. Martin, Oak Park, Illinois",,Architect|Publisher,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona|Berlin","Wright, Frank Lloyd|Wasmuth, Ernst",1910,Berlin,,Prints,http://www.metmuseum.org/art/collection/search/381653,
349794,Drawings and Prints,1940.0,Book,"Édifices de Pise: Releves, Dessinés et Décrits",,Artist|Publisher, | ,"Fleury, George Rohault de|Bance",1862,Paris,,Books,http://www.metmuseum.org/art/collection/search/349794,
491154,Modern and Contemporary Art,1943,Textile sample,Sample,American,Maker|Maker,"American (born Germany), Frankfurt-am-Main 1863–1962 Staten Island, New York|American (born Germany ?), 1868– (?)","Stirn, Louis A.|Stirn, Edmund A.",1925,New York,America,Textiles-Printed,http://www.metmuseum.org/art/collection/search/491154,
349768,Drawings and Prints,1968.0,Book,Trois Contes,,Author|Illustrator|Engraver|Publisher,"French, Rouen 1821–1880 Croisset|French, Paris 1882–1974 Paris|French, 20th century| ","Flaubert, Gustave|Marty, André-Edouard|Angiolini, Gérard|Maison Francais Editions de la",1948,Paris,,Books,http://www.metmuseum.org/art/collection/search/349768,
432956,Drawings and Prints,1933.0,Print collection ornament & architecture,"Rinceaux with putti, from Rinceaux de différents feuillages, plate 6, bound in Oeuvres. Vol. IV",,Artist|Publisher,"French, Paris 1618–1682 Paris|French, Paris 1634–1716 Paris","Le Pautre, Jean|Mariette, Pierre le fils",17th century,Paris,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/432956,
504542,Musical Instruments,1889,Basset Horn in F,Basset Horn in F,Slovenian,Maker, ,Unglerth Simon,ca. 1800,Laybach (Ljubljana),Slovenia,Aerophone-Reed Vibrated-single reed cylindrical,http://www.metmuseum.org/art/collection/search/504542,
453164,Islamic Art,1982.0,Non-illustrated manuscript,Divan of Sultan Husayn Baiqara,,Calligrapher,"Iranian, Mashhad 1453–1520 Mashhad","al-Mashhadi, Sultan 'Ali",dated  A.H. 905/ 1500 CE,Herat,present-day Afghanistan,Codices,http://www.metmuseum.org/art/collection/search/453164,Animals
334060,Drawings and Prints,1940.0,Book,"An Easy Introduction to Dancing: or, the Movements in the Minuet full explained.",,Artist|Publisher,"British, London ca. 1704–1771 Richmond, Surrey|London","Bickham, George, Jr.|Cooper, T.",1738,London,,Books,http://www.metmuseum.org/art/collection/search/334060,
702193,Drawings and Prints,1960.0,"Print, Fete, Ornament & Architecture",Plate 32: Men with heraldic flags and horses from Overijssel and Utrecht marching in the funeral procession of Archduke Albert of Austria; from 'Pompa Funebris ... Alberti Pii',,Artist|Artist,"Netherlandish, Antwerp 1576–1650 Antwerp|French, Brussels 1577–1651 Brussels","Galle, Cornelis, I|Francquart, Jacques",1623,Brussels,,Prints-Fete|Prints,http://www.metmuseum.org/art/collection/search/702193,Men|Horses|Funerals|Coat of Arms|Flags
347976,Drawings and Prints,1972.0,Book,Corbitt Motor Trucks,,Author,"Henderson, North Carolina",Corbitt Motor Truck Company,20th century,Henderson,,Books,http://www.metmuseum.org/art/collection/search/347976,
