Object ID,Is Public Domain,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Name,Artist Display Bio,Object Date,Object Begin Date,Credit Line,City,Classification,Link Resource,Tags
20029,True,The American Wing,2018.0,Tile,Tile,American,Maker,Charles Volkmar,"American, Baltimore, Maryland 1841–1914 Metuchen, New Jersey",ca. 1900–14,1897,"Gift of Robert A. Ellison Jr., 2018",Metuchen|New York|the Bronx,,http://www.metmuseum.org/art/collection/search/20029,Landscapes
3155,True,The American Wing,1910.0,Desk and bookcase,Desk and bookcase,American,Maker,Nathaniel Gould,1734–1782,ca. 1779,1776,"Gift of Mrs. Russell Sage, 1909",Salem,,http://www.metmuseum.org/art/collection/search/3155,
16317,False,The American Wing,1997.0,Spoon,Tea Spoon,American,Maker,Jabez Baldwin,ca. 1777–1819,1800–1810,1800,"Gift of Suzanne dePeyster and Valerie dePeyster, 1997",Salem,,http://www.metmuseum.org/art/collection/search/16317,
446565,true,Islamic Art,1913.0,Folio from an illustrated manuscript,"""A Bathhouse Keeper is Consumed by Passion for his Beloved"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",,Author|Artist,Amir Khusrau Dihlavi|Nar Singh,"Indian, Patiyali, 1253–1325 Delhi|",1597–98,1572,"Gift of Alexander Smith Cochran, 1913",Lahore,Codices,http://www.metmuseum.org/art/collection/search/446565,Poetry|Men|Elephants|Horses
21586,False,The American Wing,2013.0,Pitcher,Pitcher,American,Artist,Gorham Manufacturing Company,"American, Providence, Rhode Island, 1831–present",1882,1882,"Purchase, William Cullen Bryant Fellows Gifts, 2013",Providence,,http://www.metmuseum.org/art/collection/search/21586,Fish
347566,False,Drawings and Prints,1965.0,Book,Moidodyr,,Illustrator|Author|Publisher,Aminadav Moisseevich Kanevskiy|Korney Ivanovich Chukovskiy|Detgiz,"Russian, Kirovohrad, Ukraine 1898–1976 Moscow|Russian, St. Petersburg 1882–1969 Moscow|Leningrad",1962,1962,"Gift of Mrs. Joseph Y. Smith, 1965",Moscow,Books,http://www.metmuseum.org/art/collection/search/347566,
13523,False,The American Wing,1990.0,Ash tray,Ash Tray,American,Designer|Maker,Louis C. Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",ca. 1905–20,1902,"Gift of Estate of John F. Scharffenberger, 1990",New York,,http://www.metmuseum.org/art/collection/search/13523,
501676,True,Musical Instruments,1889,Trumpet in G,Trumpet in G,German,Maker,Michael Saurle,"German, active München, 1799–1872",1829,1829,"The Crosby Brown Collection of Musical Instruments, 1889",Munich,Aerophone-Lip Vibrated-trumpet / trombone,http://www.metmuseum.org/art/collection/search/501676,
746631,False,Drawings and Prints,1944.0,Book Print Ornament & Architecture,"Ornamental designs with grotesques and scrolling acanthus leaves after Aldegrever, Delacolombe, and Ducerceau",,Artist|Publisher|Editor|Printer|Artist,Paul Androuet Ducerceau|Blaisot|Fleury Chavant|Imprimerie Lesauvage|Heinrich Aldegrever,"French, 1623–1710|French, active ca. 1812–41|French, 19th century|French, active Paris, second half 19th century|German, Paderborn ca. 1502–1555/1561 Soest",[after 1844],1844,"Gift of Edith P. Blase, 1944",Paris,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/746631,
347023,False,Drawings and Prints,1917.0,"Print, portfolio","Old Spanish Masters, Engraved by Timothy Cole, with Historical Notes by Charles H. Caffin and Comments by the Engraver",,Artist|Artist|Artist|Artist|Author|Engraver|Publisher|Artist|Artist|Printer|Artist|Artist|Artist,Goya (Francisco de Goya y Lucientes)|Bartolomé Estebán Murillo|Luis de Morales|Alonso Cano|Charles H. Caffin|Timothy Cole|The Century Company|Velázquez (Diego Rodríguez de Silva y Velázquez)|Jusepe de Ribera (called Lo Spagnoletto)|John C. Bauer|El Greco (Domenikos Theotokopoulos)|Bartolomé Estebán Murillo|Francisco de Zurbarán,"Spanish, Fuendetodos 1746–1828 Bordeaux|Spanish, Seville 1617–1682 Seville|Spanish, Plasencia (?) 1510/11–1586 Alcántara|Spanish, Granada 1601–1667 Granada|American, 1854–1918|American, London 1852–1931 Poughkeepsie, New York| |Spanish, Seville 1599–1660 Madrid|Spanish, Játiva 1591–1652 Naples|American, active 1880–1920|Greek, Iráklion (Candia) 1541–1614 Toledo|Spanish, Seville 1617–1682 Seville|Spanish, Fuente de Cantos 1598–1664 Madrid",1907,1907,"Harris Brisbane Dick Fund, 1917",New York,Prints|Portfolios,http://www.metmuseum.org/art/collection/search/347023,
347187,False,Drawings and Prints,1954.0,Book,"Atlas de Cranioscopie, 2 vols.",,Author|Artist|Publisher,Carl Gustav Carus|Franz Seraph Hanfstaengl|August Weichardt,"German, Leipzig 1789–1869 Dresden|German, Baiernrain 1804–1877 Munich|German, active 19th century",1843,1843,"Gift of Lincoln Kirstein, 1954",Leipzig,Books,http://www.metmuseum.org/art/collection/search/347187,
892141,false,The Libraries,,,Black light,,Artist and publisher,Sheryl Oppenheim,"American, born 1983",2014,2014,,Brooklyn,,http://www.metmuseum.org/art/collection/search/892141,
353632,False,Drawings and Prints,1984.0,Book ; Ornament and architecture,The Chair-Maker's Guide; Being upwards of Two Hundred New and Genteel Designs,,Publisher|Designer|Designer|Designer|Designer,Robert Sayer|Robert Manwaring|Matthew Darly|Ince and Mayhew|Copland,"British, Sunderland 1725–1794 Bath|British, active 1760–ca. 1770|British, ca. 1720–1780 London|British, London 1758/9–1811|British, active ca. 1766",1766,1766,"Purchase, Leon Lowenstein Foundation Inc. Gift, 1984",London,Books|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/353632,
421929,False,Drawings and Prints,1967.0,Print,L'Apocalypse,,Artist,Georges de Pogédaïeff,"Russian, 1897–1971",[1948],1948,"Gift of Nikita D. Lobanov, 1967",Paris,Prints,http://www.metmuseum.org/art/collection/search/421929,
452635,true,Islamic Art,1974.0,Folio from an illustrated manuscript,"""Rustam Comes from Kabul to Pay Homage to Kai Khusrau"", Folio from a Shahnama (Book of Kings) of Firdausi",,Author,Abu'l Qasim Firdausi,"Iranian, Paj ca. 940/41–1020 Tus",ca. 1330–40,1305,"Bequest of Monroe C. Gutman, 1974",probably Isfahan,Codices,http://www.metmuseum.org/art/collection/search/452635,Men
377552,False,Drawings and Prints,1985.0,Print,Advertising Card for a Candleholder: No. 33 Oom Paul,,Publisher,Charles Rohlfs,"American, Brooklyn, New York 1853–1936 Buffalo, New York",1907,1907,"Gift of Robert Judson Clark, 1985",Buffalo,Prints,http://www.metmuseum.org/art/collection/search/377552,
646598,True,Drawings and Prints,1958.0,Print,"The last meal of Mary, Queen of Scots",,Sitter|Artist|Artist|Artist,"Mary, Queen of Scots|Bertauts|Henri Auguste Calixte César Serrur|Charles Bour","British, Linlithgow 1542–1587 Fotheringhay| |French, Lambersart 1794–1865 Paris|French, Lunéville 1814–1881 Lunéville",ca. 1840,1835,"Gift of Susan Dwight Bliss, 1958",Paris,Prints,http://www.metmuseum.org/art/collection/search/646598,Food|Men|Women|Dining|Mary Queen of Scots
851637,True,Arms and Armor,1932,Armor garniture,"Armor Garniture of George Clifford (1558–1605), Third Earl of Cumberland","British, Greenwich",Armorer,Jacob Halder,"British, master armorer at the royal workshops at Greenwich, documented in England 1558–1608",1586,1586,"armor (32.130.6a–y): Munsey Fund, 1932; terminal lame of the grand guard (36.98.1): Rogers Fund, 1936",Greenwich,Armor for Man,http://www.metmuseum.org/art/collection/search/851637,
345353,False,Drawings and Prints,1960.0,Book,"Architectonographie des prisons ou parallèle des systèmes de distribution dont les prisons sont susceptibles, selon le nombre et la nature de la population, létendue et la forme des terrains.",,Publisher,Louis Pierre Baltard,"French, Paris 1764–1846 Paris",1829,1829,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",Paris,Books,http://www.metmuseum.org/art/collection/search/345353,
1409,False,The American Wing,1980.0,Capital,Capital,American,Maker,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",ca. 1897,1894,"Anonymous Gift, 1980",Chicago,,http://www.metmuseum.org/art/collection/search/1409,Capitals
348464,False,Drawings and Prints,1960.0,Book,Catalogue and price list. . .of artists' materials,,Author|Printer,Edward Dechaux|John A. Gray,"New York and Paris|American, active New York, 19th century",1860,1860,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",New York,Books,http://www.metmuseum.org/art/collection/search/348464,
9961,False,The American Wing,1946.0,Wine glass,Wine Glass,American,Maker,"Bakewell, Pears and Company",1836–1882,1850–70,1850,"Gift of Mrs. Emily Winthrop Miles, 1946",Pittsburgh,,http://www.metmuseum.org/art/collection/search/9961,
728503,False,Drawings and Prints,1991.0,Book Prints Ornament & Architecture,"Nouvelles Compositions Décoratives, 1re Série, Pl. 31",,Author|Designer|Publisher,Georges Rémon|Serge Gladky|Editions d'Art Charles Moreau,"French|French, active 1920–30s|French",[ca. 1930],1925,"Jane E. Andrews Fund, in memory of William Loring Andrews, 1943, transfered from the Library (1991.1073.125)",Paris,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/728503,
6151,True,The American Wing,1943.0,Plate,Plate,American,Maker,Jehiel Johnson,ca. 1784–1833,1815–25,1815,"Gift of Joseph France, 1943",Fayetteville|Middletown,,http://www.metmuseum.org/art/collection/search/6151,
